brandId,brandName,inStock,isSponsored,itemId,itemSoldCntShow,location,name,originalPrice,price,ratingScore,review,sellerId,sellerName
39704,No Brand,True,False,458985483,384 sold,Sindh,"BQ40 TWS Wireless Bluetooth 5.3 Earbuds, Handsfree Calling Sport Stereo In Ear Headphones, Noise Cancelling Bluetooth Earphones, 9D HIFI Headset With Charging Case",2100,1339.92,4.8264462809917354,121,6005159216847,AR Traders - KHI
39704,No Brand,True,False,503214094,165 sold,Punjab,"GravaStar Sirius Pro 5.2 Wireless ENC Earbuds, Zinc Alloy Cyberpunk Design, 3D Bass, IPX5 Waterproof, Touch Control, RGB Charging Case, Gray and Yellow",2999,649,4.764705882352941,17,6005068884857,SM Trader LHE
39704,No Brand,True,False,489922512,217 sold,Punjab,"AirPods Pro 2nd Gen & AirPods 3rd Gen Wireless Earbuds - Bluetooth 5.0, Super Sound Bass, Pop-Up Feature",,499,4.469387755102041,49,6005188064366,Kinetic Deals
39704,No Brand,True,False,408306127,247 sold,Punjab,Original i12 Tws Touch Sensor Airpods_ / With Charging Case Dock For All Mobiles,2999,899,4.277777777777778,72,6005016303074,Dr_Trader
39704,No Brand,True,False,454402487,10 sold,Punjab,"m10 TWS Airpods_ with Super Sound & i7s i12 m90 High Quality Touch Sensors True Stereo Headphones with Built in Mic 10m Transmission Bluetooth Wireless Earbuds , Charging Case Sport Headset for all Bluetooth Smart devices.",2222,679.15,5.0,1,6005013999138,Q Hub
127260029,OKS®,True,False,501635197,56 sold,Punjab,"TWS I12, M10, i9s & i7s Airpods - Superior Sound & Quality Touch Sensors, True Stereo Bluetooth Wireless Earbuds with Built-in Mic, 10m Range, Charging Case, Sport Headset for All Bluetooth Smart Devices",1000,499,4.8,20,6005011788540,4-Brothers
39704,No Brand,True,False,184504748,53 sold,Punjab,M90 Airpods TWS (True Wireless Stereo) Bluetooth Airbuds Earphones Earbuds Handsfree Headset With Dual Master Control Pods.,4000,899,5.0,20,6005012040606,Online Shop 2
39704,No Brand,True,False,129956405,45 sold,Punjab,Multi colour Mini Wireless Bluetooth Earphone 4.0 In-Ear Earbud Headset,1000,299,4.5,8,1015464,The BiG Shop
39704,No Brand,True,False,384392346,1.3K sold,Sindh,M10 TWS Wireless Earbuds V5.3 Waterproof Touch Control with LED Lights,2900,780,4.447306791569087,427,6005032572697,RAS Mart
39704,No Brand,True,False,268438384,9 sold,Punjab,i7S Double i12  Airpods Wireless Bluetooth Hand Free with Power Bank Pod Stereo Earphones White bluetooth ear phone for all cell phones use,1000,740,5.0,2,6005016276148,Hania Mart Lahore
127260029,OKS®,True,False,506461502,43 sold,Punjab,"AirPods Pro 2nd, i12 TWS, Adaptive Transparency,M10 Spatial Audio, i7s H2 Chip, i9s Longer Battery Life, MagSafe Charging Case, Sweat and Water Resistant, Ultimate Wireless Earbuds Experience""",2000,699,4.866666666666666,15,6005011788540,4-Brothers
39704,No Brand,True,False,751141030,73 sold,Punjab,i 12 TWS Airpdos  original 5.0 Version  With SENSOR TOUCH Earpods High Quality Mini Universal Dual Pair Bluetooth Earbuds Sport Stereo With Charging box,1999,760,4.933333333333334,15,6005423536399,HSB
39704,No Brand,True,False,422878425,106 sold,Punjab,Air Pro TWS Blutooth tws Handfree Wireless Bluetooth Headset Good Quality Bluetooth Handsfree Earphone,3000,683,5.0,22,6005019558097,Rana Collection 2
39704,No Brand,True,False,485456794,,Punjab,M10 WIRELESS EARBUDS BLUETOOTH EARPHONES NOISE CANCELLATION HIFI QUALITY,1599,1159,5.0,2,6005194928229,AMT Enterprises
39704,No Brand,True,False,410246093,7.3K sold,Punjab,M10 TWS Wireless Earbuds Bluetooth 5.1 Touch Control Waterproof LED Display Charging Box 9D HiFi Sound for Gaming and Gym,1499,599,4.204579392732703,2009,1108816,(BiG SHOP)
39704,No Brand,True,False,491840864,8 sold,Punjab,A6S TWS Bluetooth Earphones Wireless Earphones Noise Stereo Sound Cancelling Earbuds with mic Sound Cancellation Earbuds,1999,895,5.0,2,6005011713001,Ak-MART (Lahore)
39704,No Brand,True,False,544891016,32 sold,Punjab,"TWS I16 Airpods with Super Sound & High Quality Touch Sensors True Stereo Headphones with Built in Mic 10m Transmission Bluetooth Wireless Earbuds , Charging Case Sport Headset for all Bluetooth Smart devices.",2500,510,5.0,11,6005187856884,Liberty Deal
127260029,OKS®,True,False,532531549,302 sold,Punjab,"TWS I12 & i7s Airpods_ with Super Sound & High Quality Touch Sensors True Stereo Headphones with Built in Mic 10m Transmission Bluetooth Wireless Earbuds , Chargng Case Sport Headset for all Bluetooth Smart devices.",,675,4.534883720930233,43,6005023725945,OkMall®
39704,No Brand,True,False,455251073,5.5K sold,Punjab,inPods 12 True Wireless earbuds Stereo BT V5.0 Dual Air Buds PRo- M10 Bluetooth Earphones ear buds with Power Bank For Android ios - Black,2222,581.85,4.433087460484721,949,6005023989673,Pak Live Store
39704,No Brand,True,False,729528690,1.3K sold,Punjab,"AirPods_Pro (2nd Generation) Titanium Wireless Earbuds, Bluetooth 5.0, High Quality Sound bass",2999,699,4.664031620553359,253,6005419872002,Sheikh Baba Trader
39704,No Brand,True,False,729511613,186 sold,Punjab,Airpods_Pro A9 ANC/ENC Dauble Dark Noise Reduction Battery Display Touch Control Bass Boosted Sound Quality Bluetooth Wireless Earbuds For Android and iOS/Airpods pro/Airpods pro black/Ambie/Airpods Pro,2999,1699,4.705882352941177,51,6005419872002,Sheikh Baba Trader
127176024,Oks Traders,True,False,462599431,92 sold,Punjab,Blutooth Handfree Wireless Bluetooth Headset Good Quality Bluetooth Handsfree Earphone,,275,4.666666666666667,12,6005023668959,Oks Traders®
39704,No Brand,True,False,752881898,130 sold,Punjab,G11 M10 Earbuds Air Buds TWS Gaming Bluetooth Earphone Bluetooth 5.2 Sports 360° Sound Low Latency Noise Canceling Waterproof Wireless Headset with Microphone Stereo Bass Handsfree True Wireless Gamer Earbuds Kin,1999,499,4.888888888888889,36,6005423600340,KIN
39704,No Brand,True,False,651083157,37 sold,Punjab,Mini Wireless Bluetooths Earbuds In Ear Headphones for Running Cordless Earphones for Men and Women ZF Tech,1699,349,5.0,10,6005381616147,ZF Tech by Temu 
39704,No Brand,True,False,752350089,42 sold,Punjab,Original S109 Single Ear Bluetooth Headset Wireless Ear Hook with Noise Cancelling Mic - Long Battery Life Handsfree for Driving,999,319,4.764705882352941,17,6005053869882,Flash Sale Mall
